"AIRO_ID","Roll_No","Off_Name","Add_1","Add_2","Add_3","Add_4","County","Ethos","Island","DEIS","Gaeltacht","M_13_14","F_13_14","T_13_14","xcoord","ycoord","Long","Lat"
1,"00651R","BORRIS MXD N S","BORRIS","CO CARLOW","","","Carlow","CATHOLIC","N","N","N",100,94,194,273199,150324,-6.91956,52.5993
2,"00977B","BALLYCONNELL N S","Ballyconnell","Tullow","Co Carlow","","Carlow","CATHOLIC","N","N","N",80,79,159,292481,174367,-6.62828,52.8124
3,"01116A","BAILE AN CHUILINN N S","MUINEBEAG","CO CARLOW","","","Carlow","CATHOLIC","N","N","N",56,55,111,272463,155784,-6.92923,52.6485
4,"01215C","NEWTOWN DUNLECKNEY MXD","MUINEBEAG","CO CARLOW","","","Carlow","CATHOLIC","N","N","N",69,61,130,275959,164072,-6.87567,52.7225
5,"01415K","RATHOE NS","RATHOE","CO CARLOW","","","Carlow","CATHOLIC","N","N","N",92,86,178,281027,171359,-6.79887,52.7872
6,"02124E","SCOIL NAIS MOLAISE","OLD LEIGHLIN","VIA BILBOA","CO CARLOW","","Carlow","CATHOLIC","N","N","N",74,66,140,265307,165801,-7.03297,52.7394
7,"04077I","SCOIL NAIS BHRIDE","GRANGE","TULLOW","CO CARLOW","","Carlow","CATHOLIC","N","N","N",88,71,159,282120,176948,-6.78127,52.8373
8,"09320Q","SCOIL NAIS MHUIRE","DROIMFEIGH","BAGENALSTOWN","CO CARLOW","","Carlow","CATHOLIC","N","N","N",53,47,100,278553,156943,-6.83898,52.6581
9,"11135K","ST MARYS N S","MUINEBEAG","CO CARLOW","","","Carlow","CHURCH OF IRELAND","N","N","N",39,41,80,270371,161495,-6.95892,52.7001
10,"13105L","ST BRIDGETS MONASTERY","MUINEBEAG","CO CARLOW","","","Carlow","CATHOLIC","N","N","N",116,1,117,270696,161495,-6.95411,52.7
11,"13507I","S N MUIRE LOURDES","TULLOW","CO CARLOW","","","Carlow","CATHOLIC","N","N","N",0,217,217,285444,172887,-6.73301,52.8003
12,"13607M","ST COLUMBAS N S","TULLOW","CO CARLOW","","","Carlow","CHURCH OF IRELAND","N","N","N",30,35,65,285514,173275,-6.73187,52.8037
13,"14837L","S N PEADAR AGUS POL","BALLON","CO CARLOW","","","Carlow","CATHOLIC","N","N","N",142,139,281,283204,165930,-6.76798,52.7381
14,"16080N","S N PHADRAIG NAOFA","PATRICIAN BROTHERS","TULLOW","CO CARLOW","","Carlow","CATHOLIC","N","N","N",229,0,229,285520,173189,-6.7318,52.803
15,"16938E","FR CULLEN MEMORIAL N S","TINRYLAND","CO CARLOW","","","Carlow","CATHOLIC","N","N","N",81,89,170,274499,172123,-6.89544,52.795
16,"17053P","BISHOP FOLEY MEMORIAL SCHOOL","Station Road","Co Carlow","","","Carlow","CATHOLIC","N","N","N",268,0,268,272512,177195,-6.92377,52.8409
17,"17096K","S N NMH FHINGIN","GARRYHILL","MUINEBHEAG","CO CARLOW","","Carlow","CATHOLIC","N","Y","N",21,12,33,277649,159052,-6.85184,52.6771
18,"17127S","ST JOSEPHS NS","HACKETSTOWN","CO CARLOW","","","Carlow","CATHOLIC","N","Y","N",73,73,146,297277,180092,-6.55546,52.863
19,"17330P","SCOIL N MOLING-GLYNN","ST MULLINS","KILKENNY","","","Carlow","CATHOLIC","N","N","N",21,36,57,274201,139477,-6.9072,52.5017
20,"17462J","SCOIL NAIS MHICHIL","BAILE NUA","BORRIS","CO CARLOW","","Carlow","CATHOLIC","N","N","N",26,21,47,274418,144438,-6.9029,52.5463
21,"17481N","ST BRENDANS N S","DRUMMOND","ST MULLINS","KILKENNY","","Carlow","CATHOLIC","N","N","N",12,8,20,274710,136225,-6.90043,52.4724
22,"17501Q","Bennekerry National School","Bennekerry","Co Carlow","","","Carlow","CATHOLIC","N","N","N",200,199,399,276212,176121,-6.86912,52.8307
23,"17514C","S N CLUAIN NA GALL","CLONEGAL","ENNISCORTHY","CO WEXFORD","","Carlow","CATHOLIC","N","N","N",62,55,117,291401,161388,-6.64791,52.696
24,"17663T","ST PATRICKS N S","RATHVILLY","CO CARLOW","","","Carlow","CATHOLIC","N","N","N",96,95,191,288216,181805,-6.68951,52.8799
25,"17669I","S N TREASA NAOMHA","CILL TEAGAIN","CO CILLE MANNTAIN","","","Carlow","CATHOLIC","N","Y","N",32,33,65,293017,183185,-6.61781,52.8915
26,"17756D","BALLINABRANNA MXD N S","MILFORD","CO CARLOW","","","Carlow","CATHOLIC","N","N","N",83,85,168,268668,170962,-6.98213,52.7854
27,"17796P","Our Lady's National School","Nurney","Carlow","Co Carlow","","Carlow","CATHOLIC","N","N","N",22,22,44,273518,166934,-6.91115,52.7485
28,"17994T","S N FHOIRTCHEIRN/FHININ","MIDHISEAL","CO CEATHARLACH","","","Carlow","CATHOLIC","N","N","N",60,63,123,282544,160140,-6.77921,52.6862
29,"18024N","SCOIL MUIRE GAN SMAL","ARD AITINN","CO CEATHARLACH","","","Carlow","CATHOLIC","N","N","N",45,36,81,287428,167987,-6.70491,52.7559
30,"18090D","S N CILL DAMHAIN","CILL DAMHAIN","INIS CORTHAIGH","CO LOCH GORMAN","","Carlow","CATHOLIC","N","N","N",52,47,99,288933,160048,-6.68477,52.6844
31,"18183K","QUEEN OF UNIVERSE N S","MUINEBHEAG","CO CARLOW","","","Carlow","CATHOLIC","N","N","N",94,187,281,270129,161621,-6.96247,52.7012
32,"18363M","S N MUIRE GAN SMAL","GREEN LANE","CARLOW","","","Carlow","CATHOLIC","N","N","N",0,439,439,272633,176860,-6.92205,52.8378
33,"18424G","SCOIL NAIS IOSEF NAOFA","CARLOW","CO CARLOW","","","Carlow","CATHOLIC","N","N","N",164,1,165,272598,176948,-6.92255,52.8386
34,"18510W","St Patrick's National School","Ballymurphy","Borris","Co Carlow (via Kilkenny)","","Carlow","CATHOLIC","N","N","N",24,27,51,277310,147230,-6.85962,52.571
35,"18609S","S N FIONTAIN NAOFA","RATHMORE","TULLOW","CO CARLOW","","Carlow","CATHOLIC","N","N","N",13,14,27,285279,179321,-6.73378,52.8581
